,umpd_case_number,occured_date_time_location,report_date_time,_type,disposition,location
9250,2018-00035209,06/09/18 02:51,06/09/18 02:51,Theft,CBE,8200 block of  Boteler  Ln
9251,2018-00035217,06/09/18 03:37,06/09/18 03:37,DWI/DUI,Arrest,Campus  Dr
9252,2018-00035264,06/08/18 22:00,06/09/18 13:40,Vandalism,Investigation Pending,Sigma Delta Tau at 4516  Knox  Rd
9253,2018-00035577,06/11/18 08:06,06/11/18 08:06,Injured/Sick Person,CBE,8500 block of  Paint Branch  Dr
9254,2018-00035603,06/08/18 16:30,06/11/18 10:35,Theft,Investigation Pending,"Wye Oak, Wye Oak Building at 4201  Landscape  Ln"
9255,2018-00035632,06/11/18 11:58,06/11/18 12:01,Accident - Departmental,CBE,Campus  Dr
9256,2018-00035656,06/11/18 15:30,06/11/18 15:30,Assist Other Agency,CBE,4600 block of  River  Rd
9257,2018-00035673,06/11/18 19:27,06/11/18 19:27,Injured/Sick Person,CBE,"Ritchie, Ritchie Coliseum at 7675  Baltimore  Ave"
9258,2018-00035792,06/12/18 13:25,06/12/18 13:25,Accident - Departmental,CBE,"Litton, Police Services & Training Facility at 7147  51st  Ave"
9259,2018-00035814,06/12/18 15:43,06/12/18 15:43,Injured Officer,CBE,"Litton, Police Services & Training Facility at 7147  51st  Ave"
9260,2018-00035840,06/12/18 20:24,06/12/18 20:24,CDS Violation,Arrest,7500 block of  Mowatt  Ln
9261,2018-00036146,06/14/18 09:00,06/14/18 15:06,Accident,CBE,"Wye Oak, Wye Oak Building at 4201  Landscape  Ln"
9262,2018-00036204,04/19/18 14:21,06/14/18 23:47,Pornography/Obscene Material,Arrest,8400 block of  Boteler  Ln
9263,2018-00036369,06/15/18 15:00,06/15/18 18:52,Other Incident,Unfounded,Pocomoke at 7569  Baltimore  Ave
9264,2018-00036376,06/15/18 19:24,06/15/18 19:24,Injured/Sick Person,CBE,Pocomoke at 7569  Baltimore  Ave
9265,2018-00036394,06/16/18 00:15,06/16/18 00:36,Disorderly Conduct,CBE,Montgomery at 7570  Regents  Dr
9266,2018-00036401,06/16/18 02:21,06/16/18 02:21,Injured/Sick Person,CBE,"LaPlata, LaPlata Hall at 4121  Farm  Dr"
9267,2018-00036402,06/16/18 02:46,06/16/18 02:46,DWI/DUI,Arrest,Baltimore  Ave
9268,2018-00036768,06/15/18 17:00,06/18/18 05:13,Burglary,Investigation Pending,"Dairy, Turner Hall, Visitor Center at 7736  Baltimore  Ave"
9269,2018-00036911,06/13/18 14:00,06/18/18 15:48,Theft,Arrest,3900 block of  Campus  Dr
9270,2018-00037048,06/19/18 09:03,06/19/18 09:03,Injured/Sick Person,CBE,"Chemistry, Chemistry Building at 8051  Regents  Dr"
9271,2018-00037218,06/20/18 02:03,06/20/18 02:03,CDS Violation,Arrest,Hartwick  Rd
9272,2018-00037271,06/19/18 18:30,06/20/18 10:21,Suspicious Activity (Title IX Related),Investigation Pending,3400 block of  Tulane  Dr
9273,2018-00037353,06/20/18 20:30,06/20/18 20:30,CDS Violation,Arrest,7300 block of  Baltimore  Ave
9274,2018-00037412,06/21/18 02:11,06/21/18 02:11,DWI/DUI,Arrest,Baltimore  Ave
9275,2018-00037425,06/18/18 06:00,06/21/18 07:58,Theft,Investigation Pending,Severn at 5245  Greenbelt  Rd
9276,2018-00037433,06/21/18 08:20,06/21/18 08:26,Damaged Property,CBE,Cumberland at 4145  Valley  Dr
9277,2018-00037532,06/20/18 14:00,06/21/18 21:04,Injured Officer,CBE,"Litton, Police Services & Training Facility at 7147  51st  Ave"
9278,2018-00037770,06/23/18 02:12,06/23/18 02:12,DWI/DUI,Arrest,Baltimore  Ave
9279,2018-00038128,06/25/18 10:00,06/25/18 10:25,Injured/Sick Person,CBE,"Cole, Cole Field House, Cole Student Activities Building, Driscoll Center at 4090  Union  Dr"
9280,2018-00038190,06/25/18 15:10,06/25/18 18:23,Theft,CBE,"Eppley, Eppley Recreation Center, ERC at 4128  Valley  Dr"
9281,2018-00038245,06/26/18 05:18,06/26/18 06:04,Assist Other Agency,CBE,4200 block of  Folly Quater Rd
9282,2018-00038271,06/25/18 09:00,06/26/18 09:52,Harassment/Stalking,Investigation Pending,"7-11 Varsity, 7-Eleven Varsity at 8150  Baltimore  Ave"
9283,2018-00038371,06/26/18 13:30,06/26/18 20:23,Fraud,CBE,"Edward St. John Learning and Teching Center, ESJ at 4131  Campus  Dr"
9284,2018-00038446,06/27/18 07:35,06/27/18 08:03,Injured/Sick Person,CBE,"Annapolis, Annapolis Hall at 7626  Regents  Dr"
9285,2018-00038561,06/28/18 00:36,06/28/18 00:36,DWI/DUI,Arrest,Baltimore  Ave
9286,2018-00038669,06/15/18 16:00,06/28/18 16:01,Other Incident,CBE,7600 block of  Library  Ln
9287,2018-00038708,06/28/18 20:26,06/28/18 20:26,Found/Recovered Property,CBE,"Clarice Smith Performing Arts Center, CSPAC at 8270  Alumni  Dr"
9288,2018-00038830,06/29/18 10:32,06/29/18 10:32,Accident - Departmental,CBE,"PG3, SDG, Stadium Drive Garage, Stadium Drive Parking Garage at 4025  Stadium  Dr"
9289,2018-00038860,06/29/18 15:19,06/29/18 15:19,Injured/Sick Person,CBE,Varsity Practice Field
9290,2018-00038870,06/29/18 17:12,06/29/18 17:12,Emergency Petition,CBE,Pocomoke at 7569  Baltimore  Ave
9291,2018-00038936,06/30/18 00:41,06/30/18 00:41,Injured/Sick Person,CBE,6800 block of  Preinkert  Dr
9292,2018-00038942,06/30/18 00:57,06/30/18 00:57,DWI/DUI,Arrest,University  Blvd
9293,2018-00038970,06/30/18 03:14,06/30/18 03:14,Injured/Sick Person,CBE,"Charles, Charles Hall at 4405  Lehigh  Rd"
9294,2018-00038987,06/30/18 07:20,06/30/18 07:23,Dept Property Damage/Loss,CBE,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
9295,2018-00039052,06/30/18 13:43,06/30/18 13:43,Injured/Sick Person,CBE,"MFRI, MFRI Office/Classroom Building at 4500  Campus  Dr"
9296,2018-00039093,06/30/18 19:44,06/30/18 19:44,Accident - Departmental,CBE,Wells Cove Rd / Md Rt 18
9297,2018-00039108,07/01/18 00:07,07/01/18 00:07,Injured/Sick Person,CBE,3900 block of  Campus  Dr
9298,2018-00039262,07/01/18 23:01,07/01/18 23:01,CDS Violation,Arrest,7500 block of  Hopkins  Ave
9299,2018-00039505,06/25/18 11:30,07/03/18 11:30,Other Incident,CBE,7500 block of  Mowatt  Ln
9300,2018-00039518,07/02/18 13:50,07/03/18 13:31,Theft,Arrest,"Computer Science Instructional Center, CSIC at 8169  Paint Branch  Dr"
9301,2018-00039527,07/02/18 14:30,07/03/18 14:16,Fraud,Investigation Pending,4100 block of  Campus  Dr
9302,2018-00039653,07/04/18 01:43,07/04/18 01:43,DWI/DUI,Arrest,Baltimore  Ave
9303,2018-00039702,06/29/18 15:00,07/04/18 09:32,Theft,Investigation Pending,"Dorchester, Dorchester Hall at 3947  Campus  Dr"
9304,2018-00039927,07/05/18 09:30,07/05/18 16:39,Stolen Motor Vehicle,Investigation Pending,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056  Regents  Dr"
9305,2018-00039982,07/05/18 23:11,07/05/18 23:11,CDS Violation,Arrest,University  Blvd
9306,2018-00039988,07/05/18 23:28,07/05/18 23:28,DWI/DUI,Arrest,Baltimore  Ave
9307,2018-00040014,07/06/18 01:12,07/06/18 01:12,DWI/DUI,Arrest,Baltimore  Ave
9308,2018-00040096,07/06/18 09:53,07/06/18 09:53,CDS Violation,Arrest,8100 block of  Baltimore  Ave
9309,2018-00040107,07/06/18 11:29,07/06/18 11:29,Injured/Sick Person,CBE,7500 block of  Regents  Dr
9310,2018-00040146,07/06/18 17:04,07/06/18 17:04,CDS Violation,Arrest,Lot 7
9311,2018-00040228,07/07/18 00:36,07/07/18 00:36,DWI/DUI,Arrest,Baltimore  Ave
9312,2018-00040244,07/07/18 04:52,07/07/18 05:12,Stolen Motor Vehicle,Arrest,Lot U1
9313,2018-00040366,07/07/18 19:52,07/07/18 19:52,Other Incident,CBE,Pocomoke at 7569  Baltimore  Ave
9314,2018-00040373,07/07/18 21:59,07/07/18 21:59,Injured/Sick Person,CBE,"Riggs, Riggs Alumni, Riggs Alumni Center at 7801  Alumni  Dr"
9315,2018-00040399,07/07/18 23:33,07/07/18 23:33,DWI/DUI,Arrest,Frat Row
9316,2018-00040407,07/08/18 00:18,07/08/18 00:18,DWI/DUI,Arrest,Frat Row
9317,2018-00040421,07/08/18 01:56,07/08/18 01:56,DWI/DUI,Arrest,Baltimore  Ave
9318,2018-00040426,07/08/18 02:11,07/08/18 02:11,DWI/DUI,Arrest,Frat Row
9319,2018-00040428,07/08/18 02:15,07/08/18 02:15,CDS Violation,Arrest,Pocomoke at 7569  Baltimore  Ave
9320,2018-00040597,07/08/18 22:09,07/08/18 22:09,CDS Violation,Arrest,4500 block of  College  Ave
9321,2018-00040609,07/08/18 22:48,07/08/18 22:48,CDS Violation,CBE,Cumberland at 4145  Valley  Dr
9322,2018-00040704,01/31/18 09:00,07/09/18 15:33,Vandalism,CBE,"Eppley, Eppley Recreation Center, ERC at 4128  Valley  Dr"
9323,2018-00040803,07/09/18 23:07,07/09/18 23:07,Injured/Sick Person,CBE,Cumberland at 4145  Valley  Dr
9324,2018-00040809,06/18/18 23:11,07/09/18 23:24,Assist Other Agency,CBE,"Journalism Building, Knight Hall at 7765  Alumni  Dr"
9325,2018-00040822,07/10/18 00:21,07/10/18 00:21,DWI/DUI,Juvenile Arrest,Baltimore  Ave
9326,2018-00040894,07/10/18 11:23,07/10/18 11:23,Theft,Arrest,3900 block of  Campus  Dr
9327,2018-00040896,07/10/18 08:30,07/10/18 12:07,Stolen Motor Vehicle,Investigation Pending,Lot 9b
9328,2018-00040898,07/10/18 13:01,07/10/18 13:01,Emergency Petition,CBE,"Ritchie, Ritchie Coliseum at 7675  Baltimore  Ave"
9329,2018-00040908,07/10/18 15:10,07/10/18 15:15,Injured/Sick Person,CBE,"Hornbake, Hornbake Library at 4130  Campus  Dr"
9330,2018-00040909,07/10/18 08:45,07/10/18 15:08,Stolen Motor Vehicle,Investigation Pending,Lot 1b
9331,2018-00040950,07/10/18 18:30,07/10/18 18:35,Injured/Sick Person,CBE,6  Fraternity  Row
9332,2018-00040965,07/10/18 18:30,07/10/18 19:26,Assist Other Agency (Title IX Related),CBE,Pocomoke at 7569  Baltimore  Ave
9333,2018-00041014,07/11/18 00:17,07/11/18 00:17,Trespassing,CBE,"Lot HH, PG1, ULG, Union Lane Garage, Union Lane Parking Garage at 4170  Union  Ln"
9334,2018-00041076,07/11/18 07:36,07/11/18 07:36,Theft,Investigation Pending,"Shoemaker, Shoemaker Building at 4281  Chapel  Ln"
9335,2018-00041178,07/11/18 22:21,07/11/18 22:21,Injured/Sick Person,CBE,Cumberland at 4145  Valley  Dr
9336,2018-00041179,07/11/18 22:29,07/11/18 22:29,CDS Violation,CBE,8200 block of  Boteler  Ln
9337,2018-00041244,07/12/18 07:45,07/12/18 07:45,Injured/Sick Person,CBE,3900 block of  Campus  Dr
9338,2018-00041295,07/12/18 13:00,07/12/18 14:07,Fraud,Active/Pending,4200 block of  Lehigh  Rd
9339,2018-00041321,07/12/18 17:01,07/12/18 17:01,Warrant/Summons Service,CBE,Pocomoke at 7569  Baltimore  Ave
9340,2018-00041366,07/12/18 23:38,07/12/18 23:38,CDS Violation,Arrest,4300 block of  Knox  Rd
9341,2018-00041395,07/13/18 01:42,07/13/18 01:42,Suspicious Person/Auto,CBE,Cypress Building at 8320  Baltimore  Ave
9342,2018-00041442,07/13/18 09:48,07/13/18 09:48,Recovered Stolen Motor Vehicle,CBE,"Dorchester, Dorchester Hall at 3947  Campus  Dr"
9343,2018-00041508,07/13/18 19:39,07/13/18 19:39,CDS Violation,CBE,7500 block of  Mowatt  Ln
9344,2018-00041536,07/13/18 16:45,07/13/18 21:59,Theft,Active/Pending,Kim Engineering Building at 8228  Paint Branch  Dr
9345,2018-00041717,07/15/18 01:26,07/15/18 01:26,Injured/Sick Person,CBE,4400 block of  Knox  Rd
9346,2018-00041752,07/15/18 11:00,07/15/18 11:00,Injured/Sick Person,CBE,4300 block of  Knox  Rd
9347,2018-00041996,06/25/18 08:00,07/16/18 08:05,Dept Property Damage/Loss,CBE,Pocomoke at 7569  Baltimore  Ave
9348,2018-00042061,07/13/18 15:00,07/16/18 13:30,Other Service Call,CBE,"Leonardtown #239, Leonardtown at 4610  Norwich  Rd"
9349,2018-00042275,07/17/18 07:15,07/17/18 07:15,Accident - Departmental,CBE,Severn at 5245  Greenbelt  Rd
9350,2018-00042301,07/17/18 09:35,07/17/18 09:34,Recovered Stolen Property,CBE,North Gate at 4306  Campus  Dr
9351,2018-00042302,07/17/18 09:43,07/17/18 09:43,Injured/Sick Person,CBE,Varsity Sports Teamhouse at 4117  Stadium  Dr
9352,2018-00042317,07/13/18 13:14,07/17/18 13:12,Theft,Investigation Pending,4200 block of  Campus  Dr
9353,2018-00042321,05/15/18 12:00,07/17/18 13:57,Theft,Active/Pending,8400 block of  Boteler  Ln
9354,2018-00042344,07/17/18 17:14,07/17/18 17:14,Traffic Offense,CBE,Yale  Ave
9355,2018-00042493,04/18/18 09:00,07/18/18 10:55,Theft,Active/Pending,4100 block of  Campus  Dr
9356,2018-00042519,07/18/18 13:50,07/18/18 13:52,Injured/Sick Person,CBE,"Milkboy, MilkBoy ArtHouse at 7416  Baltimore  Ave"
9357,2018-00042526,07/10/18 15:50,07/18/18 14:56,Dept Property Damage/Loss,CBE,Pocomoke at 7569  Baltimore  Ave
9358,2018-00042585,07/18/18 18:32,07/18/18 18:32,Domestic (Title IX Related),CBE,Pocomoke at 7569  Baltimore  Ave
9359,2018-00042636,07/19/18 02:03,07/19/18 02:03,DWI/DUI,Arrest,"Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
9360,2018-00042671,07/19/18 10:43,07/19/18 10:43,CDS Violation,Arrest,Hartwick  Rd
9361,2018-00042682,07/19/18 12:12,07/19/18 12:12,Trespassing,Arrest,3900 block of  Campus  Dr
9362,2018-00042852,07/19/18 15:00,07/20/18 11:19,Theft,Investigation Pending,3900 block of  Campus  Dr
9363,2018-00042874,07/20/18 14:30,07/20/18 16:09,Other Incident,Investigation Pending,7600 block of  Library  Ln
9364,2018-00043006,07/20/18 23:19,07/20/18 23:19,CDS Violation,Arrest,Baltimore  Ave
9365,2018-00043022,07/21/18 00:58,07/21/18 00:58,DWI/DUI,Arrest,College  Ave
9366,2018-00043279,07/20/18 17:00,07/22/18 14:40,Vandalism,Investigation Pending,"Riggs, Riggs Alumni, Riggs Alumni Center at 7801  Alumni  Dr"
9367,2018-00043422,07/23/18 02:23,07/23/18 02:23,Warrant/Summons Service,Arrest,7500 block of  Mowatt  Ln
9368,2018-00043470,07/23/18 09:00,07/23/18 12:14,Title IX Incident Non Criminal,CBE,"Van Munching, Van Munching Hall at 7699  Mowatt  Ln"
9369,2018-00043482,07/18/18 12:00,07/23/18 15:34,Other Incident,Arrest,"Eppley, Eppley Recreation Center, ERC at 4128  Valley  Dr"
9370,2018-00043510,07/23/18 17:21,07/23/18 17:21,CDS Violation,Arrest,Baltimore  Ave
9371,2018-00043750,07/24/18 21:48,07/24/18 21:48,CDS Violation,Arrest,7500 block of  Mowatt  Ln
9372,2018-00043768,07/25/18 00:54,07/25/18 00:54,DWI/DUI,Arrest,Baltimore  Ave
9373,2018-00043867,07/25/18 10:45,07/25/18 16:51,Vandalism,Investigation Pending,Lot Z
9374,2018-00043937,07/26/18 01:50,07/26/18 01:50,DWI/DUI,Arrest,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Garage, Mowatt Lane Parking Garage, PG5 at 7591  Mowatt  Ln"
9375,2018-00043943,07/26/18 04:54,07/26/18 04:54,Stolen Motor Vehicle,Arrest,Campus  Dr
9376,2018-00044000,07/26/18 12:46,07/26/18 12:46,Police Information,CBE,8000 block of  Regents  Dr
9377,2018-00044015,10/05/16,07/26/18 15:20,Theft,CBE,"Eppley, Eppley Recreation Center, ERC at 4128  Valley  Dr"
9378,2018-00044105,07/27/18 00:24,07/27/18 00:24,Injured/Sick Person,CBE,7500 block of  Mowatt  Ln
9379,2018-00044141,07/27/18 05:25,07/27/18 05:25,CDS Violation,Arrest,Lot 1b
9380,2018-00044155,06/22/18 08:00,07/27/18 07:59,Other Incident,CBE,"Leonardtown, Leonardtown #201, Leonardtown Leonardtown Office Building at 4725  Rossborough  Ln"
9381,2018-00044448,07/28/18 14:50,07/28/18 14:50,Warrant/Summons Service,Arrest,University  Blvd
9382,2018-00044527,07/28/18 22:58,07/28/18 22:58,CDS Violation,Juvenile Arrest,Campus  Dr
9383,2018-00044688,07/29/18 23:17,07/29/18 23:17,CDS Violation,Arrest,"Terrapin Row, Terrapin Row #2, Terrapin Row 2, TR2 at 4300  Hartwick  Rd"
9384,2018-00044710,07/30/18 01:08,07/30/18 01:08,DWI/DUI,Arrest,University  Blvd
9385,2018-00044884,07/31/18 00:29,07/31/18 00:30,Accident - Departmental,CBE,011 at 4425  Campus  Dr
9386,2018-00044896,07/31/18 01:44,07/31/18 01:44,DWI/DUI,Arrest,The Hotel at 7777  Baltimore  Ave
9387,2018-00044898,07/31/18 02:21,07/31/18 02:21,DWI/DUI,Arrest,Rossborough  Ln
9388,2018-00044916,07/31/18 08:03,07/31/18 08:03,Warrant/Summons Service,Arrest,"Satellite Central Utilities Building 4, SCUB 4 at 4455  Stadium  Dr"
9389,2018-00044939,07/31/18 10:45,07/31/18 10:45,CDS Violation,Arrest,Pocomoke at 7569  Baltimore  Ave
9390,2018-00044953,07/31/18 14:39,07/31/18 14:39,Emergency Petition,CBE,Health Center at 3983  Campus  Dr
9391,2018-00045028,07/29/18 12:00,07/31/18 21:35,Dept Property Damage/Loss,CBE,Pocomoke at 7569  Baltimore  Ave
9392,2018-00045064,08/01/18 00:23,08/01/18 00:24,Theft,Investigation Pending,4300 block of  Knox  Rd
9393,2018-00045114,01/01/18 12:00,08/01/18 12:03,Dept Property Damage/Loss,CBE,Pocomoke at 7569  Baltimore  Ave
9394,2018-00045116,07/26/18 07:15,08/01/18 12:03,Theft,Arrest,3900 block of  Campus  Dr
9395,2018-00045220,08/01/18 21:38,08/01/18 21:38,Injured/Sick Person,CBE,"Lot HH, PG1, ULG, Union Lane Garage, Union Lane Parking Garage at 4170  Union  Ln"
9396,2018-00045247,08/02/18 01:26,08/02/18 01:26,DWI/DUI,Arrest,Baltimore  Ave
9397,2018-00045249,08/02/18 02:06,08/02/18 02:06,DWI/DUI,Arrest,"Commons 5, SCC 5, South Campus Commons 5 at 6903  Preinkert  Dr"
9398,2018-00045429,08/03/18 01:00,08/03/18 01:20,Injured/Sick Person,CBE,"Oakland, Oakland Hall at 3912  Denton Service  Ln"
9399,2018-00045485,03/26/18 08:00,08/03/18 10:18,Theft,Arrest,"Chemistry, Chemistry Building at 8051  Regents  Dr"
9400,2018-00045590,08/03/18 22:57,08/03/18 22:57,DWI/DUI,Arrest,Baltimore  Ave
9401,2018-00045593,08/03/18 23:02,08/03/18 23:02,Warrant/Summons Service,Arrest,340 block of  Ehrensberger  Dr
9402,2018-00045608,08/03/18 23:20,08/04/18 01:01,Dept Property Damage/Loss,CBE,"Cole, Cole Field House, Cole Student Activities Building, Driscoll Center at 4090  Union  Dr"
9403,2018-00045622,08/04/18 02:49,08/04/18 02:49,Trespassing,Arrest,"Shoemaker, Shoemaker Building at 4281  Chapel  Ln"
9404,2018-00045758,08/05/18 01:22,08/05/18 01:22,Disorderly Conduct,Arrest,4500 block of  Knox  Rd
9405,2018-00045761,08/05/18 01:57,08/05/18 01:57,Theft from Auto,Arrest,Hopkins  Ave
9406,2018-00045948,08/06/18 00:21,08/06/18 00:21,DWI/DUI,Arrest,"Ritchie, Ritchie Coliseum at 7675  Baltimore  Ave"
9407,2018-00046022,08/05/18 20:30,08/06/18 12:07,Theft,Active/Pending,3400 block of  Tulane  Dr
9408,2018-00046037,08/06/18 14:25,08/06/18 14:25,Title IX Incident Non Criminal,CBE,4200 block of  Lehigh  Rd
9409,2018-00046184,08/06/18 08:15,08/07/18 08:27,Damage to State Property,CBE,"Chapel, Memorial Chapel at 7744  Regents  Dr"
9410,2018-00046211,08/07/18 09:45,08/07/18 10:45,Disorderly Conduct,CBE,"Leonardtown, Leonardtown #201, Leonardtown Leonardtown Office Building at 4725  Rossborough  Ln"
9411,2018-00046304,08/07/18 23:10,08/07/18 23:10,DWI/DUI,Arrest,Frat Row
9412,2018-00046374,08/08/18 08:15,08/08/18 08:24,Injured/Sick Person,CBE,"Eppley, Eppley Recreation Center, ERC at 4128  Valley  Dr"
9413,2018-00046390,08/08/18 10:55,08/08/18 10:56,Suspicious Person/Auto,CBE,"Main Admin, Main Administration, Main Administration Building at 7901  Regents  Dr"
9414,2018-00046530,08/09/18 05:37,08/09/18 05:37,Warrant/Summons Service,Arrest,The Hotel at 7777  Baltimore  Ave
9415,2018-00046561,08/09/18 09:58,08/09/18 09:58,Warrant/Summons Service,Arrest,Mowatt  Ln
9416,2018-00046572,08/09/18 13:00,08/09/18 13:00,Other Incident,CBE,"Physical Sciences Complex, PSC at 4296  Stadium  Dr"
9417,2018-00046590,08/09/18 18:31,08/09/18 18:30,Injured/Sick Person,CBE,3900 block of  Campus  Dr
9418,2018-00046687,08/10/18 10:36,08/10/18 10:36,Other Incident,CBE,Plant Sciences Building at 4291  Fieldhouse  Dr
9419,2018-00046690,08/10/18 11:12,08/10/18 11:12,Injured/Sick Person,CBE,3900 block of  Campus  Dr
9420,2018-00046693,08/10/18 11:47,08/10/18 11:47,Injured/Sick Person,CBE,3900 block of  Campus  Dr
9421,2018-00046768,08/10/18 22:30,08/10/18 22:38,CDS Violation,Arrest,4500 block of  College  Ave
9422,2018-00046779,08/10/18 23:36,08/10/18 23:36,Injured/Sick Person,CBE,Yale  Ave
9423,2018-00046796,08/11/18 00:43,08/11/18 00:43,Alcohol Violation,CBE,Berwyn House  Rd
9424,2018-00046801,08/11/18 01:31,08/11/18 01:31,CDS Violation,Arrest,9000 block of  Baltimore  Ave
9425,2018-00046870,08/11/18 10:45,08/11/18 10:45,CDS Violation,Arrest,Baltimore  Ave
9426,2018-00046884,08/11/18 12:27,08/11/18 12:27,Injured/Sick Person,CBE,"Football Team House, Gossett, Gossett Football Team House at 4068  Fieldhouse  Dr"
9427,2018-00047015,08/12/18 02:44,08/12/18 02:44,DWI/DUI,Arrest,Baltimore  Ave
9428,2018-00047018,08/12/18 02:50,08/12/18 03:31,CDS Violation,Arrest,7400 block of  Baltimore  Ave
9429,2018-00047330,08/13/18 20:59,08/13/18 20:59,Emergency Petition,CBE,"Wicomico, Wicomico Hall at 7218  Preinkert  Dr"
9430,2018-00047469,08/14/18 15:28,08/14/18 15:28,Injured/Sick Person,CBE,4600 block of  Norwich  Rd
9431,2018-00047501,08/14/18 19:27,08/14/18 19:27,Emergency Petition,CBE,Lot 9b
9432,2018-00047566,08/15/18 02:10,08/15/18 02:10,DWI/DUI,Arrest,Campus  Dr
9433,2018-00047687,08/15/18 14:00,08/15/18 15:16,Damaged Property,CBE,Lot 1b
9434,2018-00047708,08/15/18 09:50,08/15/18 19:21,Theft,Investigation Pending,Mckeldin Library at 7649  Library  Ln
9435,2018-00047737,08/15/18 22:21,08/15/18 22:21,DWI/DUI,Arrest,"Football Team House, Gossett, Gossett Football Team House at 4068  Fieldhouse  Dr"
9436,2018-00047879,08/16/18 16:23,08/16/18 16:22,Warrant/Summons Service,Arrest,"7-11 Varsity, 7-Eleven Varsity at 8150  Baltimore  Ave"
9437,2018-00047948,08/17/18 00:35,08/17/18 00:35,Weapon Violation,Arrest,Greenbelt  Rd
9438,2018-00048014,08/15/18 23:00,08/17/18 11:18,Theft,Active/Pending,8500 block of  Boteler  Ln
9439,2018-00048020,08/17/18 12:22,08/17/18 12:21,CDS Violation,Arrest,8100 block of  Boteler  Ln
9440,2018-00048022,08/17/18 12:56,08/17/18 12:56,Other Incident,CBE,"Physical Sciences Complex, PSC at 4296  Stadium  Dr"
9441,2018-00048032,08/17/18 15:14,08/17/18 15:14,Warrant/Summons Service,Arrest,Farm  Dr
9442,2018-00048131,08/18/18 04:07,08/18/18 04:07,Warrant/Summons Service,Arrest,7300 block of  Columbia  Ave
9443,2018-00048302,08/19/18 00:53,08/19/18 00:53,DWI/DUI,Arrest,Frat Row
9444,2018-00048309,08/19/18 01:15,08/19/18 01:15,DWI/DUI,Arrest,"MFRI, MFRI Office/Classroom Building at 4500  Campus  Dr"
9445,2018-00048386,08/19/18 12:45,08/19/18 13:57,Damage to State Property,Active/Pending,"Oakland, Oakland Hall at 3912  Denton Service  Ln"
